brand,model,price,cpu,gpu,ram,storage,screen_size,screen_type,battery,weight,purpose
Acer,Model-076,15433977,AMD Ryzen 7,AMD Radeon,4,256GB SSD,14,OLED,5723,1.48,Office
Dell,Model-077,16270070,AMD Ryzen 5,AMD Radeon,4,512GB HDD,15,OLED,4136,1.55,Office
HP,Model-078,11700379,AMD Ryzen 7,AMD Radeon,4,512GB HDD,15,IPS,3186,1.5,Office
Asus,Model-079,15560920,Intel i3,NVIDIA RTX 3050,8,512GB SSD,15,OLED,5854,2.45,Office
Asus,Model-080,11860006,AMD Ryzen 5,AMD Radeon,8,1TB SSD,15,OLED,5791,1.76,Gaming
Dell,Model-081,14484413,AMD Ryzen 7,Intel UHD,16,512GB SSD,17,OLED,4250,1.29,Creator
HP,Model-082,17907360,AMD Ryzen 5,NVIDIA RTX 3060,4,256GB SSD,17,TN,4333,2.75,Gaming
HP,Model-083,14782592,Intel i5,Intel UHD,4,256GB HDD,14,TN,3097,2.61,Student
MSI,Model-084,10895544,Intel i5,Intel UHD,8,256GB HDD,15,IPS,3054,2.68,Gaming
MSI,Model-085,10178650,AMD Ryzen 7,AMD Radeon,4,512GB SSD,15,IPS,5670,2.79,Gaming
MSI,Model-086,13697469,AMD Ryzen 5,NVIDIA RTX 3060,8,512GB SSD,13,TN,5711,1.48,Student
MSI,Model-087,17235000,Intel i3,NVIDIA RTX 3060,4,512GB HDD,17,TN,3757,1.83,Student
MSI,Model-088,18908531,AMD Ryzen 7,NVIDIA RTX 3060,16,512GB SSD,15,TN,3405,2.41,Student
MSI,Model-089,12322252,Intel i5,NVIDIA RTX 3050,4,1TB SSD,14,OLED,5116,2.31,Gaming
Acer,Model-090,17822184,Intel i5,AMD Radeon,4,1TB SSD,14,OLED,4312,1.45,Gaming
HP,Model-091,12402690,AMD Ryzen 7,NVIDIA RTX 3060,32,1TB SSD,17,TN,4785,2.51,Student
MSI,Model-092,12693350,AMD Ryzen 5,NVIDIA RTX 3050,8,256GB HDD,14,OLED,3750,1.56,Creator
HP,Model-093,10548421,Intel i5,NVIDIA GTX 1650,4,1TB HDD,14,OLED,4762,1.56,Creator
HP,Model-094,12216263,AMD Ryzen 5,NVIDIA GTX 1650,4,512GB HDD,17,IPS,3364,2.06,Office
Lenovo,Model-095,11806618,Intel i5,NVIDIA RTX 3050,32,1TB HDD,15,TN,5026,2.15,Student
Acer,Model-096,13993096,Intel i5,NVIDIA RTX 3050,32,1TB HDD,15,TN,3481,2.13,Office
MSI,Model-097,13954109,Intel i7,AMD Radeon,8,512GB SSD,14,OLED,5248,1.35,Creator
Asus,Model-098,14033060,Intel i5,AMD Radeon,32,512GB HDD,14,TN,3153,2.6,Office
Dell,Model-099,19422880,Intel i3,NVIDIA GTX 1650,16,512GB SSD,15,IPS,4524,1.62,Student
Asus,Model-100,8112754,AMD Ryzen 7,NVIDIA RTX 3060,32,512GB SSD,17,IPS,5120,1.41,Student
Acer,Model-101,14457294,AMD Ryzen 7,NVIDIA GTX 1650,16,512GB SSD,14,IPS,5760,2.62,Student
Dell,Model-102,9384250,AMD Ryzen 5,NVIDIA RTX 3060,8,1TB HDD,13,TN,5343,2.73,Gaming
Acer,Model-103,16025717,Intel i5,NVIDIA RTX 3060,8,512GB SSD,17,TN,4040,2.58,Office
HP,Model-104,8061087,Intel i3,AMD Radeon,8,256GB HDD,14,TN,4664,2.5,Creator
Dell,Model-105,13207647,AMD Ryzen 5,Intel UHD,8,256GB HDD,14,TN,4240,2.25,Creator
HP,Model-106,14276567,Intel i7,Intel UHD,8,512GB HDD,13,TN,3060,2.08,Creator
Asus,Model-107,19933160,AMD Ryzen 5,NVIDIA RTX 3050,16,1TB HDD,13,IPS,3938,1.34,Gaming
Asus,Model-108,14409907,AMD Ryzen 5,AMD Radeon,16,256GB HDD,15,OLED,4639,1.85,Gaming
Dell,Model-109,6496176,Intel i5,NVIDIA RTX 3060,8,256GB HDD,17,IPS,5089,1.8,Student
Dell,Model-110,13886013,Intel i7,Intel UHD,32,1TB SSD,17,TN,3024,1.62,Creator
MSI,Model-111,9634096,AMD Ryzen 5,NVIDIA RTX 3060,4,512GB HDD,15,IPS,4062,2.36,Gaming
Acer,Model-112,12039353,Intel i3,Intel UHD,8,512GB SSD,17,TN,3130,1.99,Student
MSI,Model-113,14484531,Intel i3,Intel UHD,32,512GB SSD,17,TN,4252,1.33,Creator
Acer,Model-114,8360011,AMD Ryzen 7,Intel UHD,4,1TB HDD,17,IPS,3107,1.55,Office
MSI,Model-115,19654909,Intel i7,AMD Radeon,8,256GB SSD,17,TN,3171,2.29,Student
HP,Model-116,19259622,Intel i7,NVIDIA GTX 1650,8,1TB SSD,17,OLED,4458,1.32,Gaming
Dell,Model-117,12959617,AMD Ryzen 7,NVIDIA RTX 3060,16,512GB HDD,13,TN,3101,2.56,Gaming
Asus,Model-118,17725570,AMD Ryzen 5,AMD Radeon,4,512GB SSD,17,OLED,5913,1.99,Student
Acer,Model-119,15416880,Intel i7,AMD Radeon,4,1TB HDD,13,OLED,5571,1.97,Student
Acer,Model-120,18882916,Intel i3,AMD Radeon,32,512GB SSD,17,TN,5322,2.15,Gaming
Asus,Model-121,22072695,Intel i3,AMD Radeon,16,512GB HDD,15,IPS,4636,2.52,Office
MSI,Model-122,12965050,Intel i5,AMD Radeon,16,256GB SSD,14,OLED,5864,1.76,Creator
Acer,Model-123,5813168,Intel i7,NVIDIA RTX 3050,16,256GB SSD,13,IPS,4040,2.28,Office
HP,Model-124,15225281,AMD Ryzen 5,NVIDIA RTX 3060,16,256GB SSD,17,OLED,3329,2.11,Student
Dell,Model-125,15117697,AMD Ryzen 7,AMD Radeon,4,1TB SSD,15,TN,4520,1.63,Office
Asus,Model-126,11782875,AMD Ryzen 7,NVIDIA RTX 3060,4,512GB SSD,14,TN,3011,2.61,Gaming
Dell,Model-127,17995765,AMD Ryzen 5,NVIDIA RTX 3050,8,1TB HDD,13,OLED,4341,2.48,Student
Acer,Model-128,19734102,Intel i5,NVIDIA RTX 3050,8,1TB SSD,14,TN,3215,2.25,Creator
Acer,Model-129,17595108,AMD Ryzen 7,NVIDIA RTX 3060,16,256GB HDD,15,OLED,3338,2.56,Gaming
Asus,Model-130,17674719,Intel i7,Intel UHD,16,512GB HDD,13,TN,4799,2.59,Gaming
HP,Model-131,23658144,Intel i5,NVIDIA GTX 1650,16,256GB HDD,14,IPS,5708,2.33,Creator
Lenovo,Model-132,21609280,Intel i7,Intel UHD,8,1TB SSD,17,TN,4750,2.54,Creator
Asus,Model-133,20500306,Intel i3,Intel UHD,32,512GB HDD,13,IPS,4508,2.32,Office
Lenovo,Model-134,9372093,Intel i5,Intel UHD,32,1TB SSD,14,TN,5421,2.29,Student
MSI,Model-135,16561729,AMD Ryzen 7,AMD Radeon,8,256GB HDD,15,IPS,3709,2.19,Creator
Lenovo,Model-136,20031595,Intel i5,NVIDIA RTX 3050,8,512GB HDD,15,TN,4223,2.4,Creator
HP,Model-137,20478047,Intel i5,Intel UHD,8,256GB HDD,13,IPS,5513,1.45,Student
MSI,Model-138,5681669,Intel i5,NVIDIA RTX 3050,8,1TB SSD,14,OLED,4112,2.61,Creator
Lenovo,Model-139,16119043,Intel i5,NVIDIA RTX 3060,8,256GB HDD,13,OLED,4291,2.59,Creator
MSI,Model-140,15329462,Intel i7,NVIDIA GTX 1650,8,512GB SSD,13,IPS,3488,1.25,Office
Lenovo,Model-141,22103230,Intel i3,NVIDIA RTX 3060,16,256GB SSD,14,TN,4561,2.52,Gaming
HP,Model-142,13741093,AMD Ryzen 5,NVIDIA RTX 3060,16,256GB SSD,14,IPS,3046,1.41,Gaming
Lenovo,Model-143,14558231,Intel i5,AMD Radeon,16,1TB HDD,17,TN,3777,1.74,Gaming
Lenovo,Model-144,18659908,AMD Ryzen 7,NVIDIA GTX 1650,16,512GB HDD,14,OLED,4039,2.39,Gaming
Lenovo,Model-145,11212467,Intel i5,NVIDIA RTX 3060,8,256GB SSD,15,TN,3710,1.46,Creator
Asus,Model-146,9300385,AMD Ryzen 7,NVIDIA RTX 3060,32,512GB SSD,13,OLED,3400,2.51,Student
Asus,Model-147,8080389,Intel i7,NVIDIA GTX 1650,4,512GB HDD,13,TN,4817,2.53,Student
Asus,Model-148,16661909,AMD Ryzen 7,NVIDIA GTX 1650,8,1TB HDD,15,TN,3249,2.01,Office
HP,Model-149,14656138,AMD Ryzen 5,NVIDIA RTX 3060,4,512GB HDD,14,TN,3390,1.21,Office
